일자,시가,고가,저가,종가,거래량
20190201,46650,46950,46250,46350,13832454
20190207,46800,47100,46200,46200,15872001
20190208,45700,45700,44650,44800,12689196
20190211,44500,45000,44250,45000,11125044
20190212,44650,46250,44650,46050,13184367
20190213,46400,46700,46000,46200,11299738
20190214,46600,47500,46150,47500,17259341
20190215,46750,46850,45650,46050,10554643
20190218,46500,46850,45850,46200,8183728
20190219,45850,46150,45450,45950,6741395
20190220,46750,47100,46500,46900,11506720
20190221,46500,47200,46200,46950,8694009
20190222,46500,47150,46450,47150,6895772
20190225,47400,47550,47050,47350,7484716
20190226,47350,47450,46500,46750,7985547
20190227,47000,47250,46750,46750,8045211
20190228,46400,46500,45100,45100,23569321
20190304,46000,46100,44800,44850,12926539
20190305,44600,45100,44150,44250,10612405
20190306,44000,44300,43700,44000,10202544
20190307,43400,44950,43400,44450,11049749
20190308,44450,44800,43800,43800,7729069
20190311,44400,44450,43650,43650,10717408
20190312,44300,44950,44150,44650,11431977
20190313,44250,44450,43700,43850,8108343
20190314,43700,44300,43550,43850,18039161
20190315,43800,44250,43700,44200,16814163
20190318,43950,44150,43450,43700,8188876
20190319,43750,43900,43550,43900,7609563
20190320,43800,44200,43100,44050,9846242
20190321,44600,46250,44050,45850,21138016
20190322,46850,47000,46250,46550,12535911
20190325,45300,45650,44800,45500,8699728
20190326,45500,45700,44900,45250,9729811
20190327,44750,45600,44250,45350,9568081
20190328,44950,45200,44300,44850,6821306
20190329,44500,44900,44200,44650,11491713
20190401,45200,45450,44850,45050,7362129
20190402,45550,46100,45350,45750,9480688
20190403,46750,46750,45800,46600,12436570
20190404,46150,47100,46150,46950,12650168
20190405,46950,47550,46600,46850,8546339
20190408,47250,47250,46150,46650,8507909
20190409,46700,46950,46200,46650,6878761
20190410,46400,46700,46050,46700,11883995
20190411,46700,46800,46150,46250,13697399
20190412,46050,46900,46000,46850,7668936
20190415,47150,47500,47000,47050,8733019
20190416,47400,47400,46800,47250,7730881
20190417,47300,47600,47000,47050,5513658
20190418,47200,47250,45500,45600,12808747
20190419,45750,46000,45250,45300,8479710
20190422,45400,45900,45100,45350,6006957
20190423,45050,45500,45000,45200,6920566
20190424,45400,45650,44150,44750,13299267
20190425,44250,45000,44100,44650,10868965
20190426,44200,45000,43800,44850,9739982
20190429,45150,46150,45100,46150,8777517
20190430,46000,46300,45350,45850,11121273
20190502,45500,46150,45400,45900,8625126
20190503,45900,46050,45300,45300,6562916
20190507,45250,45300,44400,44850,12014907
20190508,44300,44850,44200,44250,10398754
20190509,43900,44250,42450,42450,23029718
20190510,42600,43450,42450,42900,14579512
20190513,42500,43200,42350,42650,7635079
20190514,41300,43100,41300,42650,11563730
20190515,42700,43050,42550,42550,7670185
20190516,42350,42400,41350,41550,13687828
20190517,41950,42050,40850,41200,13357951
20190520,41650,42100,41550,42000,15752397
20190521,42600,43950,42350,43150,18812133
20190522,43700,43800,42400,43500,11033339
20190523,43900,44000,43250,43850,12259006
20190524,43800,43800,42400,42700,13966305
20190527,42500,43000,42350,42650,8066669
20190528,42550,42950,42150,42550,24506881
20190529,41850,42100,41300,41800,14930618
20190530,42200,42700,42150,42550,11766018
20190531,42600,42800,42150,42500,11365999
20190603,42950,43900,42500,43800,15466580
20190604,43400,43700,43000,43450,9913497
20190605,44050,44200,43700,43900,12464135
20190607,43600,44350,43450,44200,11683682
20190610,44300,44850,44050,44800,8792182
20190611,44800,45000,44550,44850,6664872
20190612,44800,45050,44300,44600,8607439
20190613,44200,44400,43400,43750,16906541
20190614,43750,44150,43300,44000,9322873
20190617,43750,44050,43400,43900,11890424
20190618,43750,44500,43650,44350,7994928
20190619,45450,45450,45000,45350,10417690
20190620,44850,45500,44850,45500,7147785
20190621,45750,45800,45200,45700,9454913
20190624,45200,45800,45200,45500,6085066
20190625,45200,45800,45200,45600,7076774
20190626,45800,46000,45600,45700,9226097
20190627,46000,46600,45750,46500,12603534
20190628,47000,47000,46700,47000,12949231
20190701,47350,47400,46250,46600,11383522
20190702,46200,46900,45850,46250,8463073
20190703,45750,46350,45200,45400,9669368
20190704,45250,46200,45250,46000,6365573
20190705,45950,45950,45250,45650,7235395
20190708,44750,44800,44350,44400,7823843
20190709,44850,45450,44700,45100,7646421
20190710,45550,46150,45500,45550,9253930
20190711,46350,46550,46150,46200,10989751
20190712,46350,46400,45800,46300,5245804
20190715,45950,46650,45750,46450,4717226
20190716,46450,46850,46300,46850,7407824
20190717,46150,46350,45950,46050,5216602
20190718,46450,46450,45650,46100,5143554
20190719,46650,46950,46600,46800,8819393
20190722,46800,47300,46600,47200,9009109
20190723,47350,47550,47050,47300,9061381
20190724,47100,47150,46250,46400,8756522
20190725,47150,47200,46600,47200,8408838
20190726,46650,47150,46550,47150,7873886
20190729,46800,47050,46000,46100,6856846
20190730,46300,46850,46300,46550,5551014
20190731,46200,46600,45000,45350,12872916
20190801,44900,45500,44850,45200,7811181
20190802,44550,45500,44300,44950,12151374
20190805,44350,44600,43600,43950,14214086
20190806,42500,43800,42500,43500,15083824
20190807,43600,43900,43100,43200,10002533
20190808,43250,43500,42650,42650,16926881
20190809,43250,43350,43050,43150,9685147
20190812,44000,44000,43550,43700,8466169
20190813,43500,43500,42950,43000,7276979
20190814,43900,44250,43500,43700,8750135
20190816,43800,43900,43300,43900,9528115
20190819,44350,44350,43500,43600,6014218
20190820,43950,44600,43550,44450,8434205
20190821,44350,44800,44150,44500,6571717
20190822,44500,44700,43850,44050,8061177
20190823,43800,44200,43650,43950,5017381
20190826,43050,43800,42950,43600,7954949
20190827,43650,44200,43600,44050,16883932
20190828,44100,44400,43750,44150,5758333
20190829,44200,44200,43050,43400,10768862
20190830,43750,44300,43750,44000,9899073
20190902,44850,44850,43650,43800,7185537
20190903,43550,43650,43100,43250,9774941
20190904,43250,44100,43150,44100,12441837
20190905,44800,46100,44450,45700,18297430
20190906,46500,46500,45850,46300,9896562
20190909,46450,47000,46300,46900,9434157
20190910,47100,47200,46550,47000,9231792
20190911,47300,47400,46800,47150,16141619
20190916,47000,47100,46400,47100,15550926
20190917,47000,47100,46800,46900,7006280
20190918,46900,47700,46800,47700,10413027
20190919,48050,49200,47850,49150,16461413
20190920,49400,49600,49100,49200,15460210
20190923,49250,49300,49000,49300,7568553
20190924,49050,49650,48850,49500,7871955
20190925,49200,49350,48800,48900,9187141
20190926,49000,49250,48900,49200,8494756
20190927,48000,48700,48000,48400,8048041
20190930,48050,49250,47900,49050,9497119
20191001,48900,49100,48650,48850,6206035
20191002,48350,48400,47600,47600,8382463
20191004,47400,48650,47350,48000,9331695
20191007,48350,48700,47650,47750,7047273
20191008,47900,49000,47600,48900,14239367
20191010,48200,49200,48000,48550,18639855
20191011,49000,49450,48800,49150,7783275
20191014,50000,50300,49850,50000,11130635
20191015,49900,50200,49900,50100,6058105
20191016,50700,50900,50400,50700,9136282
20191017,50500,50600,50100,50500,6701380
20191018,50300,50900,49650,49900,8483106
20191021,49900,50400,49800,50300,4406531
20191022,50800,51500,50700,51200,10898729
20191023,51300,51500,50800,51200,8663880
20191024,52500,52500,50500,50700,21185785
20191025,50800,51200,50500,50900,7879897
20191028,50700,51500,50700,51300,6431522
20191029,51400,51700,50800,51100,7581629
20191030,50700,50800,50200,50400,8959435
20191031,51000,51400,50300,50400,10304777
20191101,50600,51200,50400,51200,8467846
20191104,51700,52300,51400,52300,13012411
20191105,52400,52700,52100,52700,10581034
20191106,52900,53500,52700,53300,14361133
20191107,53400,53400,52400,52900,9257116
20191108,53200,53300,52000,52100,11603290
20191111,52200,52200,51400,51600,8185952
20191112,51800,52600,51600,52600,6576148
20191113,52500,52500,52000,52500,6225196
20191114,51900,52800,51900,52800,12010018
20191115,52900,53700,52600,53700,9703360
20191118,53600,53800,53200,53500,7746554
20191119,53200,53500,52700,53500,8907177
20191120,53400,53400,52000,52000,12560070
20191121,51600,52100,50600,51000,14298646
20191122,51000,51600,50900,51600,8478310
20191125,52200,52600,51700,51800,9050625
20191126,51900,52900,51800,51800,27372226
20191127,51800,52300,51600,52200,7546261
20191128,51900,52100,51300,51300,6833885
20191129,51200,51400,50200,50300,11179334
20191202,50900,51300,50400,50400,18877252
20191203,49800,50300,49500,49900,12059812
20191204,49600,49850,49000,49450,13246549
20191205,50200,50400,49500,49500,10449715
20191206,50100,50900,49950,50400,11414563
20191209,50900,51400,50700,51200,8470627
20191210,51000,51600,50700,51500,6882771
20191211,51500,52200,51400,51900,11379521
20191212,53000,53300,52700,53300,29178697
20191213,54500,54800,53900,54700,18120261
20191216,54500,54900,54300,54700,11512405
20191217,55800,56700,55400,56700,19358433
20191218,56700,57200,56000,56300,15558208
20191219,57000,57300,55500,56000,14180520
20191220,56100,56500,55600,56000,12095519
20191223,56100,56400,55100,55500,9839252
20191224,55600,55700,54800,55000,11868463
20191226,54700,55400,54400,55400,9645034
20191227,55700,56900,55500,56500,12313056
20191230,56200,56600,55700,55800,8356767
20200102,55500,56000,55000,55200,12993228
20200103,56000,56600,54900,55500,15422255
20200106,54900,55600,54600,55500,10278951
20200107,55700,56400,55600,55800,10009778
20200108,56200,57400,55900,56800,23501171
20200109,58400,58600,57400,58600,24102579
20200110,58800,59700,58300,59500,16000170
20200113,59600,60000,59100,60000,11359139
20200114,60400,61000,59900,60000,16906295
20200115,59500,59600,58900,59000,14300928
20200116,59100,60700,59000,60700,14381774
20200117,61900,62000,61000,61300,16025661
20200120,62000,62800,61700,62400,12528855
20200121,62000,62400,61200,61400,11142693
20200122,60500,62600,60400,62300,15339565
20200123,61800,61800,60700,60800,14916555
20200128,59400,59400,58300,58800,23664541
20200129,59100,59700,58800,59100,16446102
20200130,58800,58800,56800,57200,20821939
20200131,57800,58400,56400,56400,19749457
20200203,55500,57400,55200,57200,23995260
20200204,57100,59000,56800,58900,21800192
20200205,60000,60200,58900,59500,19278165
20200206,60100,61100,59700,61100,14727159
20200207,61100,61200,59700,60400,16402493
20200210,59200,59800,59100,59700,13107121
20200211,59800,60700,59700,59900,11071231
20200212,60300,60700,59700,60500,12904207
20200213,61200,61600,60500,60700,18449775
20200214,60900,61900,60200,61800,13276067
20200217,61600,62000,61200,61500,8740596
20200218,60800,60900,59700,59800,16674266
20200219,59800,60400,59400,60200,12951496
20200220,60700,61300,59600,60000,14591924
20200221,58800,59800,58500,59200,13777393
20200224,57400,58100,56800,56800,25627537
20200225,56200,58000,56200,57900,23885408
20200226,56000,57000,56000,56500,25483102
20200227,56300,56900,55500,55900,23209541
20200228,55000,55500,54200,54200,30054227
20200302,54300,55500,53600,55000,30403412
20200303,56700,56900,55100,55400,30330295
20200304,54800,57600,54600,57400,24765728
20200305,57600,58000,56700,57800,21698990
20200306,56500,57200,56200,56500,18716656
20200309,54700,55000,53600,54200,30261485
20200310,53800,54900,53700,54600,32106554
20200311,54300,54400,52000,52100,45707281
20200312,51000,51900,49300,50800,48149999
20200313,47450,51600,46850,49950,59462933
20200316,50100,50900,48800,48900,33339821
20200317,46900,49650,46700,47300,51218151
20200318,47750,48350,45600,45600,40152623
20200319,46400,46650,42300,42950,56925513
20200320,44150,45500,43550,45400,49164641
